G12	A.BRANCA/FAZ.RIO GRANDE
464	A.MUNHOZ/J.BOTANICO
226	ABAETE
182	ABRANCHES
332	ACROPOLE
208	AEROPORTO
334	AGRICOLA
C13	AGUA CLARA
180	AGUA VERDE/ABRANCHES
775	AGUA VERDE/BURITI
I21	AGUDOS DO SUL
265	AHU/LOS ANGELES
560	ALFERES POLI
232	ALIANCA
629	ALTO BOQUEIRAO
373	ALTO TARUMA
B15	ANA TERRA/ADRIANE
H20	ANGELICA/C.RASO
H21	ANGELICA/CIC
311	ARAGUAIA
H11	ARAUCARIA/PINHEIRINHO
H12	ARAUCARIA/PORTAO
823	AUGUSTA
361	AUGUSTO STRESSER
313	AVENIDA IRAI/C.IMBUIA
342	B.ALTO/BOA VISTA
C41	B.ALTO/E.PERNETA
341	B.ALTO/STA.CANDIDA
307	B.ALTO/STA.FELICIDADE
225	B.VISTA/BARREIRINHA
506	BAIRRO NOVO
541	BAIRRO NOVO "A"
542	BAIRRO NOVO "B"
547	BAIRRO NOVO "C"
510	BAIRRO NOVO (BOOSTER)
231	BANESTADO/CALIFORNIA
205	BARREIRINHA
206	BARREIRINHA/SAO JOSE
875	BIGORRILHO
B33	BOCAIUVA DO SUL
922	BOM PASTOR
175	BOM RETIRO/PUC
503	BOQUEIRAO
505	BOQUEIRAO/C.CIVICO
540	BOQUEIRAO/KRAFT
O71	BORDA DO CAMPO
627	BOSCH
170	BRACATINGA
O75	BRITANITE
913	BUTIATUVINHA
516	C.BELEM/S.FILHO
826	C.COMPRIDO/BOSCH
828	C.COMPRIDO/C.RASO
I50	C.GRANDE SUL/Q.BARRAS
306	C.IMBUIA/CENTENARIO
393	C.IMBUIA/PARQUE BARIGUI
I30	C.LARGO/BALSA NOVA
150	C.MUSICA/V.ALEGRE
658	C.RASO/CAIUA
024	C.RASO/CAMP.SIQUEIRA
201	CABRAL/BOM RETIRO
215	CABRAL/CACHOEIRA
B02	CABRAL/MARACANA
207	CABRAL/OSORIO
216	CABRAL/PORTAO
647	CACHIMBA
659	CACHIMBA/OLARIA
703	CAIUA
386	CAJURU
322	CAMARGO
801	CAMP.SIQUEIRA/BATEL
654	CAMPO ALEGRE
J15	CAMPO LARGO
923	CAMPO MAGRO
475	CANAL BELEM
628	CARBOMAFRA
776	CARMELA DUTRA
668	CASA DE CUSTODIA
224	CASSIOPEIA
305	CENTENARIO
335	CENTENARIO/BOQUEIRAO
303	CENTENARIO/C.COMPRIDO
338	CENTENARIO/HAUER
302	CENTENARIO/RUI BARBOSA
469	CENTRO POLITECNICO
002	CIRCULAR CENTRO (ANTI-HORARIO)
001	CIRCULAR CENTRO (HORARIO)
D13	CIRCULAR PIRAQUARA
602	CIRCULAR SUL (ANTI-HORARIO)
502	CIRCULAR SUL (HORARIO)
211	COLINA VERDE
I31	COLOMBO/ANG.CARON
607	COLOMBO/CIC
I20	COLOMBO/SAO JOSE
B24	COLONIA FARIA
778	COTOLENGO
385	CRISTO REI
E02	CTBA/APOLO
H01	CTBA/ARAUCARIA
606	CTBA/ARAUCARIA
G72	CTBA/AREIA BRANCA
P63	CTBA/BATEIAS
E67	CTBA/BRAGA
N71	CTBA/C.GRANDE DO SUL
J62	CTBA/C.LARGO
G73	CTBA/CAMP.DOS PAULAS
805	CTBA/CAMPO LARGO
B61	CTBA/CAP.DO ATUBA
P64	CTBA/CERNE
B80	CTBA/COLOMBO (CAMBARA)
B81	CTBA/COLOMBO (GUARACI)
B72	CTBA/COLOMBO (ROD.UVA)
C63	CTBA/CONJ.ATUBA
R71	CTBA/CONTENDA
N72	CTBA/EUGENIA MARIA
605	CTBA/FAZ.RIO GRANDE
B62	CTBA/GUARAITUBA
E77	CTBA/GUATUPE
E66	CTBA/INDEPENDENCIA
K71	CTBA/ITAPERUCU
B82	CTBA/JD.ANA ROSA
B75	CTBA/JD.ARAPONGAS
B74	CTBA/JD.CESAR AUGUSTO
E75	CTBA/JD.CRISTAL
B77	CTBA/JD.CURITIBA
E71	CTBA/JD.IPE
E72	CTBA/JD.IZAURA
A73	CTBA/JD.MARROCOS
B73	CTBA/JD.OSASCO
A72	CTBA/JD.PARAISO
B78	CTBA/JD.SAO GABRIEL
G71	CTBA/MANDIRITUBA
B01	CTBA/MARACANA
B64	CTBA/MONTE CASTELO
E62	CTBA/PEDRO MORO
D61	CTBA/PIRAQUARA
D66	CTBA/PIRAQUARA (DIRETO)
B63	CTBA/PORTEIRA/PALOMA
E76	CTBA/POSTO PARIS
O72	CTBA/POUSADA
E70	CTBA/PUC
O74	CTBA/Q.BARRAS (BR116)
O73	CTBA/Q.BARRAS (GRACIOSA)
E68	CTBA/QUISISANA
L71	CTBA/R.BCO.DO SUL
B79	CTBA/ROCA GRANDE
E78	CTBA/ROSEIRA
E05	CTBA/SAO JOSE
B76	CTBA/SAO SEBASTIAO
B83	CTBA/STA.TEREZA
A01	CTBA/TAMANDARE
A07	CTBA/TAMANDARE (LAMENHA)
A06	CTBA/TAMANDARE (MINERIOS)
A77	CTBA/TANGUA
P65	CTBA/TERRA BOA
N73	CTBA/TIMBU
N75	CTBA/TIMBU (DIRETO)
E01	CTBA/URANO
A78	CTBA/V.MARTA
C72	CTBA/V.PALMITAL
C66	CTBA/V.ZUMBI
E65	CTBA/XINGU
681	DALAGASSA
626	DENSO
340	DETRAN/B.ALTO
380	DETRAN/VIC.MACHADO
B31	DIRETO CABRAL
O11	DISTRITO INDUSTRIAL
662	DOM ATICO
894	E.E. 29 DE MARCO 1
392	E.E. TOMAZ EDISON 4
998	E.E. VIVIAN MARCAL 1
799	E.E.ALI BARK 1
798	E.E.ALI BARK 2
695	E.E.ALTO BOQUEIRAO
399	E.E.APAE 1
596	E.E.APAE 2
598	E.E.APAE 3
195	E.E.APAE 4
199	E.E.APAE 5
396	E.E.APAE 6
297	E.E.ATUBA
694	E.E.BAIRRO NOVO
194	E.E.BARREIRINHA
198	E.E.BOA VISTA
398	E.E.C.IMBUIA
397	E.E.CAJURU
394	E.E.CENTRAU 1
899	E.E.CIC
697	E.E.ECUMENICA 1
897	E.E.ECUMENICA 2
898	E.E.ECUMENICA 3
299	E.E.ECUMENICA 4
295	E.E.ECUMENICA 5
599	E.E.HELENA ANTIPOFF 1
497	E.E.HELENA ANTIPOFF 2
197	E.E.HELENA ANTIPOFF 3
499	E.E.HELENA ANTIPOFF 4
699	E.E.LUAN MULLER 1
795	E.E.LUAN MULLER 2
395	E.E.LUAN MULLER 3
298	E.E.LUAN MULLER 4
698	E.E.NOSSA SRA.DA LUZ
896	E.E.NOVO MUNDO
997	E.E.ORLEANS
196	E.E.PILARZINHO
495	E.E.PINHAIS 1
498	E.E.PINHAIS 2
696	E.E.PINHEIRINHO
597	E.E.SITIO CERCADO
296	E.E.STA.CANDIDA
996	E.E.STA.FELICIDADE
796	E.E.STA.HELENA
797	E.E.STA.QUITERIA
895	E.E.TATUQUARA
693	E.E.TOMAZ EDISON 1
893	E.E.TOMAZ EDISON 2
691	E.E.TOMAZ EDISON 3
496	E.E.UBERABA
533	E.VERISSIMO/PANTANAL
C23	EMILIANO PERNETA
465	ERASTO GAERTNER
X01	ESPECIAL BARREIRINHA/CABRAL
X12	ESPECIAL BOQUEIRAO
X02	ESPECIAL CABRAL/PORTAO
968	ESPECIAL TROMBINI
F13	ESTADOS
266	ESTRIBO AHU
466	ESTUDANTES
F17	EUCALIPTOS
F24	EUCALIPTOS II
E64	EXECUTIVO AEROPORTO
813	FAC.ESPIRITA/TUIUTI
621	FANNY
719	FAZEND./CAIUA-FRIGORIF.
F03	FAZENDA (DIRETO)
F05	FAZENDA/CIC
F01	FAZENDA/PINHEIRINHO
701	FAZENDINHA
720	FAZENDINHA/C.COMPRIDO
831	FAZENDINHA/C.RASO
611	FAZENDINHA/PORTAO
614	FAZENDINHA/PUC
702	FAZENDINHA/TAMANDARE
669	FCO ANTONELO
270	FERNANDO DE NORONHA
821	FERNAO DIAS
J11	FERRARIA
673	FORMOSA
567	FRANC.DEROSSO/BR 116
167	FREDOLIN WOLF
639	FUTURAMA
683	FUTURAMA/S.CERCADO
822	GABINETO
642	GANCHINHO
A16	GIANNINI
F15	GRALHA AZUL
625	GRAMADOS
470	GUABIROTUBA
B23	GUARAITUBA
D22	GUARITUBA
561	GUILHERMINA
513	HAUER/BOQUEIRAO
371	HIGIENOPOLIS
374	HUGO LANGE
F12	IGUACU I
F21	IGUACU II
523	IGUAPE I
515	IGUAPE II
712	INDEPENDENCIA/CIC
023	INTER 2 (ANTI-HORARIO)
022	INTER 2 (HORARIO)
011	INTERBAIRROS I (ANTI-HORARIO)
010	INTERBAIRROS I (HORARIO)
