$C1000	AV. JOAO GUALBERTO
$C025M	R. LUIZ LEAO
$C0270	R. TIBAGI
$S0010	AV. SILVA JARDIM
$S046A	VD. COLORADO
$S0460	AV. COMENDADOR FRANCO
$S7100	R. DOUTOR ALCIDES VIEIRA ARCOVERDE
$S814A	R. AMOROSO COSTA
$S810B	R. EVARISTO F. F. DA COSTA
$S8220	R. CORONEL FRANCISCO H. DOS SANTOS
$S8150	R. SENADOR BATISTA DE OLIVEIRA
$S810B	R. EVARISTO F. F. DA COSTA
$S814A	R. AMOROSO COSTA
$S7100	R. DOUTOR ALCIDES VIEIRA ARCOVERDE
$S0460	AV. COMENDADOR FRANCO
$S046A	VD. COLORADO
$C0290	R. MARIANO TORRES
$PC010	LRG. BITTENCOURT
$C0260	R. PRESIDENTE CARLOS CAVALCANTI
$C021L	R. RIACHUELO
