$S153C	R. ANDRE JOAO GASPARIN
$W1290	R. FRANCISCO ADER
$W100D	R. ANTONIO GASPARIN
$W1370	R. PEDRO GUSSO
$W6390	R. DESEMBARGADOR CID CAMPELO
$W4700	R. VICENTE MICHELOTTO
$C555E	AV. JUSCELINO KUBITSCHEK DE OLIVEIRA
$W4200	R. CYRO CORREIA PEREIRA
$W4250	R. RODOLPHO HATSCHBACH
$W4300	R. PAUL GARFUNKEL
$W4150	R. EMILIO ROMANI
$W4300	R. PAUL GARFUNKEL
$W4250	R. RODOLPHO HATSCHBACH
$W4200	R. CYRO CORREIA PEREIRA
$C555E	AV. JUSCELINO KUBITSCHEK DE OLIVEIRA
$W4700	R. VICENTE MICHELOTTO
$W1670	R. JOSE RODRIGUES PINHEIRO
$W4050	R. JOAO CHEDE
$W6390	R. DESEMBARGADOR CID CAMPELO
$W1370	R. PEDRO GUSSO
$W532M	R. SAO SEVERINO
$W5530	R. LEA MOREIRA DE SOUZA MOURA
$W1370	R. PEDRO GUSSO
$W104D	R. PAULINA ADER
$W1310	R. DEPUTADO WALDEMIRO PEDROSO
$S155B	R. CATARINA SCOTTI
