PTO0006109|N	ESTAÇÃO TUBO GUADALUPE
$C0230	R. JOAO NEGRAO
$S209D	R. JOAO VIANA SEILER
$S0260	AV. MARECHAL FLORIANO PEIXOTO
$S6480	R. PASTOR CARLOS FRANK
$S625G	R. ZONARDY RIBAS
$S6500	R. MAESTRO CARLOS FRANK
PTO0006511|N	ESTAÇÃO TUBO ALTO BOQUEIRÃO
$S5270	R. FRANCISCO DEROSSO
$S4330	R. IZAAC FERREIRA DA CRUZ
PTO0006512|N	ESTAÇÃO TUBO CHAPINHAL
$S404H	R. JOAO LAERTES BOCHNIA
$S4310	R. EMILE ZOLA
$C8881	ROD. BR-116
$C3020	AV. WINSTON CHURCHILL
$W1670	R. JOSE RODRIGUES PINHEIRO
$S202A	R. ANDRE FERREIRA BARBOSA
$S2020	R. FRANCISCO RAITANI
$S2060	R. PROFESSOR JOAO MAZZAROTTO
$C3000	AV. REPUBLICA ARGENTINA
$S155B	R. CATARINA SCOTTI
$S153C	R. ANDRE JOAO GASPARIN
$S150A	R. IRMAS PAULINAS
$S1500	AV. BRASILIA
$S102A	R. EDUARDO CARLOS PEREIRA
$S1020	R. GUILHERME PUGSLEY
$S0020	R. SAINT HILAIRE
$S0050	AV. PRESIDENTE GETULIO VARGAS
$C0250	R. CONSELHEIRO LAURINDO
$C0100	R. MARECHAL DEODORO
$C0230	R. JOAO NEGRAO
