$C4000	R. PADRE ANCHIETA
$W021H	R. JERONIMO DURSKI
$W0020	R. MARTIN AFONSO
$W0170	R. EUCLIDES DA CUNHA
$N8100	R. LUCIO RASERA
$N801B	R. DOUTOR ALVARO ALBUQUERQUE
$N8060	R. NOEL ROSA
$N0320	R. JACAREZINHO
$N403F	R. ANDRE ZANETTI
$N4160	R. ARTHUR LEINIG
$N4070	R. ANTONIO GRADE
$N418B	R. JOAO TSCHANNERL
$N4170	R. SANTA CECILIA
$N018B	AV. DESEMBARGADOR HUGO SIMAS
$N3340	R. AMAURI LANGE SILVERIO
$N3310	R. SAO SALVADOR
$N3000	R. NILO PECANHA
$N3330	R. JOAO GAVA
$N0080	R. MATEUS LEME
$N2190	R. PROFESSOR NILO BRANDAO
$N124A	R. SIMAO MANSUR
$N1070	R. HOLANDA
$N1080	R. VICENTE CICCARINO
$N0680	R. CORONEL AMAZONAS MARCONDES
$N065B	R. PEDRO FABRI
$N065A	R. VEREADOR GARCIA RODRIGUES VELHO
$C1020	AV. PARANA
$E025J	R. FUNCIONARIOS, DOS
$E0270	R. CAMOES
$E021H	R. JAIME BALAO
$E025M	R. PADRE GERMANO MAYER
$E0160	R. AUGUSTO STRESSER
$E2010	AV. NOSSA SENHORA DA LUZ
$E4010	AV. MARECHAL HUMBERTO DE ALENCAR CASTELO BRANCO
$E3180	R. RAPHAEL PAPA
$E4300	AV. VICTOR FERREIRA DO AMARAL
$E5250	R. HAYTON DA SILVA PEREIRA
$E5200	R. OSMARIO DE LIMA
$S9120	R. PROFESSOR NIVALDO BRAGA
$E5280	R. DELEGADO LEOPOLDO BELCZAK
$C2000	AV. PRESIDENTE AFFONSO CAMARGO
$S9120	R. PROFESSOR NIVALDO BRAGA
$S9110	R. LUIZ FRANCA
$S9220	R. VICENTE DE CARVALHO
$S9010	R. PROCOPIO FERREIRA MARTINS
$S912C	R. HEITOR QUINTEIRO
$S810A	R. MARCOS SMANHOTTO
$S8220	R. CORONEL FRANCISCO H. DOS SANTOS
$S726F	R. JOSE RIETMEYER
$S612A	R. JULIO CESAR RIBEIRO DE SOUZA
$S0260	AV. MARECHAL FLORIANO PEIXOTO
$S6160	R. WALDEMAR KOST
$S6090	R. PAULO SETUBAL
$S6200	R. EVARISTO DA VEIGA
$S5740	R. ANTONIO REBELATTO
$S5270	R. FRANCISCO DEROSSO
$S1500	AV. BRASILIA
$S1630	R. PEDRO AMÉRICO
$S161A	R. PEDRO BONAT
$S150A	R. IRMAS PAULINAS
$S155B	R. CATARINA SCOTTI
$S153C	R. ANDRE JOAO GASPARIN
$W1290	R. FRANCISCO ADER
$W104D	R. PAULINA ADER
$W1310	R. DEPUTADO WALDEMIRO PEDROSO
$W106D	R. SEBASTIAO MALUCELLI
$W1040	R. FREI GASPAR MADRE DE DEUS
$W1090	R. ITACOLOMI
$W1020	R. SAO MATEUS
$W700E	R. DOUTOR LAURO WOLFF VALENTE
$W735A	R. CARLOS DIETZSCH
$W7020	R. CORONEL AIRTON PLAISANT
$W7290	R. FRANCISCO KLEMTZ
$W7000	AV. PRESIDENTE ARTHUR DA SILVA BERNARDES
$W8000	R. GENERAL MARIO TOURINHO
