$C300M	AV. REPUBLICA ARGENTINA
$S211U	R. AUGUSTO DE MARI
$C300H	R. LOURIVAL PORTELLA NATEL
$S2070	AV. PRESIDENTE KENNEDY
$W1070	R. ITATIAIA
$W1020	R. SAO MATEUS
$W1010	R. JOAO BETTEGA
$AR20G	AV. DAS ARAUCÁRIAS (ARAUCÁRIA)
$AR10H	ROD. DO XISTO BR - 476 (ARAUCÁRIA)
$AR18D	R. VER. ABILIO FRUET (ARAUCÁRIA)
$AR79G	AV. DR. VICTOR DO AMARAL (ARAUCÁRIA)
$AR71E	R. DR. GUILHERME DA M. COSTA (ARAUCÁRIA)
$AR11D	R. MAJOR SEZINO PERREIRA DE SOUZA (ARAUCÁRIA)
$AR13D	R. DOS EXP. BRASILEIROS (ARAUCÁRIA)
$AR04J	R. JOÃO PESSOA (ARAUCÁRIA)
$AR61G	R. CORONEL JOÃO ANTÔNIO XAVIER (ARAUCÁRIA)
$AR00Z	R. CLAUDINO SANTOS (ARAUCÁRIA)
$AR03V	R. PRES. CARLOS CAVALCANTI (ARAUCÁRIA)
$AR61G	R. CORONEL JOÃO ANTÔNIO XAVIER (ARAUCÁRIA)
$AR00D	R. PROF° ALFREDO PARODI (ARAUCÁRIA)
$AR03S	AV. ARCHELAU DE ALMEIDA TORRES (ARAUCÁRIA)
$AR79G	AV. DR. VICTOR DO AMARAL (ARAUCÁRIA)
$AR18D	R. VER. ABILIO FRUET (ARAUCÁRIA)
$AR10H	ROD. DO XISTO BR - 476 (ARAUCÁRIA)
$AR20G	AV. DAS ARAUCÁRIAS (ARAUCÁRIA)
$W1010	R. JOAO BETTEGA
$W1000	R. DOUTOR JOAO TOBIAS PINTO REBELO
$W1030	R. LUIZ PARIGOT DE SOUZA
$S2110	R. AUGUSTO DE MARI
$C300H	R. LOURIVAL PORTELLA NATEL
$S211T	R. AUGUSTO DE MARI
