$S153C	R. ANDRE JOAO GASPARIN
$W1290	R. FRANCISCO ADER
$W104D	R. PAULINA ADER
$W1330	R. JOAO BONAT
$W120D	R. FRANCISCO FRUET
$W137C	R. GENERAL POTIGUARA
$W6350	R. PROFESSOR ALGACYR MUNHOZ MADER
$C5550	AV. JUSCELINO KUBITSCHEK DE OLIVEIRA
$W676B	R. ANTONIO PASTRE
$W6490	EST. VELHA DO BARIGUI
$W676O	R. MOACIR EDISON FERREIRA
$W647H	R. ARY CARAMAO ARRUDA
$W676S	R. NATALIA IVANCZYSZYN
$W6590	R. MARIA LUCIA LOCHER DE ATHAYDE
$W680K	R. DEPUTADO CUNHA BUENO
$W779M	R. DURVAL LEOPOLDO LANDAL
$W6820	R. ANTONIO DIONISIO SOBRINHO
$W6490	EST. VELHA DO BARIGUI
$W6840	R. PEDRO DRIESSEN FILHO
$W682F	R. VALE DOS PASSAROS
$W651S	R. JEQUITIBA, DO
$W6840	R. PEDRO DRIESSEN FILHO
$W651I	R. GRALHA-AZUL
$W779H	R. HILDA CADILHE DE OLIVEIRA
$W6860	R. ROSA RIGONI LANDAL
$C555E	AV. JUSCELINO KUBITSCHEK DE OLIVEIRA
$W7300	R. RAUL POMPEIA
$C555E	AV. JUSCELINO KUBITSCHEK DE OLIVEIRA
$W6860	R. ROSA RIGONI LANDAL
$W779H	R. HILDA CADILHE DE OLIVEIRA
$W651I	R. GRALHA-AZUL
$W6840	R. PEDRO DRIESSEN FILHO
$W651S	R. JEQUITIBA, DO
$W682F	R. VALE DOS PASSAROS
$W6840	R. PEDRO DRIESSEN FILHO
$W6490	EST. VELHA DO BARIGUI
$W6820	R. ANTONIO DIONISIO SOBRINHO
$W779M	R. DURVAL LEOPOLDO LANDAL
$W680K	R. DEPUTADO CUNHA BUENO
$W6590	R. MARIA LUCIA LOCHER DE ATHAYDE
$W676S	R. NATALIA IVANCZYSZYN
$W647H	R. ARY CARAMAO ARRUDA
$W676O	R. MOACIR EDISON FERREIRA
$W6490	EST. VELHA DO BARIGUI
$W676B	R. ANTONIO PASTRE
$C5550	AV. JUSCELINO KUBITSCHEK DE OLIVEIRA
$W5030	R. SENADOR ACCIOLY FILHO
$W6390	R. DESEMBARGADOR CID CAMPELO
$W6350	R. PROFESSOR ALGACYR MUNHOZ MADER
$W137C	R. GENERAL POTIGUARA
$W120D	R. FRANCISCO FRUET
$W1330	R. JOAO BONAT
$W104D	R. PAULINA ADER
$W1310	R. DEPUTADO WALDEMIRO PEDROSO
$S155B	R. CATARINA SCOTTI
