$S0260	AV. MARECHAL FLORIANO PEIXOTO
$S6160	R. WALDEMAR KOST
$S6090	R. PAULO SETUBAL
$S6200	R. EVARISTO DA VEIGA
$S601B	R. HUMBERTO CICCARINO
$S5740	R. ANTONIO REBELATTO
$S539G	R. CATARINA GABARDO
$S535H	R. ARCENDINO ROSA NEVES
$S5780	R. HERMINIA ZANETTI
$S5270	R. FRANCISCO DEROSSO
$S5440	R. LEONCIO LOPES CORTIANO
$S5570	R. CONSTANTINO JOSE DE ALMEIDA
$S6380	R. WALDEMAR LOUREIRO CAMPOS
$S553P	R. VEREADOR AURELINO MADER GONCALVES
$S560A	R. PROFESSOR JOAO DUCK FILHO
$S5610	R. PEDRO WIELER
$S5600	R. JOAO KASDORF
$S553P	R. VEREADOR AURELINO MADER GONCALVES
$S6380	R. WALDEMAR LOUREIRO CAMPOS
$S5570	R. CONSTANTINO JOSE DE ALMEIDA
$S5440	R. LEONCIO LOPES CORTIANO
$S5650	R. SANTO BOZZI
$S6300	R. CORONEL LUIZ JOSE DOS SANTOS
$S5270	R. FRANCISCO DEROSSO
$S5760	R. DOM JOSE MARELLO
$S576A	R. VEREADOR OSWALDO NASCIMENTO BITTENCOURT
$S539G	R. CATARINA GABARDO
$S5740	R. ANTONIO REBELATTO
$S601B	R. HUMBERTO CICCARINO
$S6200	R. EVARISTO DA VEIGA
$S6090	R. PAULO SETUBAL
$S6160	R. WALDEMAR KOST
$S6170	R. PROFESSOR JOAO SOARES BARCELOS
$S6140	R. ALCINO GUANABARA
