PCA003	PRAÇA CARLOS GOMES
$C0060	R. PEDRO IVO
$S0260	AV. MARECHAL FLORIANO PEIXOTO
PTO0005979|N	ESTAÇÃO TUBO CEFET
PTO0001194|N	ESTAÇÃO TUBO GETULIO VARGAS
PTO0001199|N	ESTAÇÃO TUBO ALM. GONÇALVES
PTO0001206|N	ESTAÇÃO TUBO CONS. DANTAS
PTO0001208|N	ESTAÇÃO TUBO JOÃO VIANA SEILER
PTO0001218|N	ESTAÇÃO TUBO TRE
PTO0001226|N	ESTAÇÃO TUBO PAROLIN
PTO0001334|N	ESTAÇÃO TUBO FERROVILA
PTO0001343|N	ESTAÇÃO TUBO ROBERTO HAUER
PTO0001345|N	ESTAÇÃO TUBO PADUA FLEURY
PTO0001386|N	ESTAÇÃO TUBO PASSARELA
PTO0001440|N	ESTAÇÃO TUBO HIPOLITO DA COSTA
PTO0001514|N	ESTAÇÃO TUBO CEL LUIZ J. DOS SANTOS
PTO0001551|N	ESTAÇÃO TUBO QUARTEL
PTO0001553|N	ESTAÇÃO TUBO ANTONIO DE PAULA
PTO0001554|N	ESTAÇÃO TUBO ANTONIO DE PAULA
PTO0001552|N	ESTAÇÃO TUBO QUARTEL
PTO0001515|N	ESTAÇÃO TUBO CEL LUIZ J. DOS SANTOS
PTO0001441|N	ESTAÇÃO TUBO HIPOLITO DA COSTA
PTO0001387|N	ESTAÇÃO TUBO PASSARELA
PTO0001346|N	ESTAÇÃO TUBO PADUA FLEURY
PTO0001344|N	ESTAÇÃO TUBO ROBERTO HAUER
PTO0001335|N	ESTAÇÃO TUBO FERROVILA
PTO0001227|N	ESTAÇÃO TUBO PAROLIN
PTO0001219|N	ESTAÇÃO TUBO TRE
PTO0001209|N	ESTAÇÃO TUBO JOÃO VIANA SEILER
PTO0001207|N	ESTAÇÃO TUBO CONS. DANTAS
PTO0001200|N	ESTAÇÃO TUBO ALM. GONÇALVES
PTO0001193|N	ESTAÇÃO TUBO GETULIO VARGAS
PTO0005980|N	ESTAÇÃO TUBO CEFET
$C2500	AV. SETE DE SETEMBRO
$C0190	R. LOURENCO PINTO
$C0060	R. PEDRO IVO
