$C025M	R. LUIZ LEAO
$C0270	R. TIBAGI
$C008M	R. BENJAMIN CONSTANT
$C0390	R. UBALDINO DO AMARAL
$S0500	AV. PREFEITO OMAR SABBAG
$S015L	R. ENGENHEIRO GOTTARDO BOTTARELLI
$S050F	AV. PROFESSOR LOTHARIO MEISSNER
$C7770	ROD. BR-277 CURITIBA PARANAGUA
PTO0006087|N	ESTAÇÃO TUBO CENTRO POLITÉCNICO
$S8220	R. CORONEL FRANCISCO H. DOS SANTOS
$S810A	R. MARCOS SMANHOTTO
$S912C	R. HEITOR QUINTEIRO
$S906C	R. SAO BARTOLOMEU
$S910C	R. SAO VICENTE PALLOTTI
$C7770	ROD. BR-277 CURITIBA PARANAGUA
$S050F	AV. PROFESSOR LOTHARIO MEISSNER
$S015L	R. ENGENHEIRO GOTTARDO BOTTARELLI
$S0500	AV. PREFEITO OMAR SABBAG
$S011J	R. ERNESTO DE ARAUJO
$S050B	R. CORONEL JOAO DA SILVA SAMPAIO
$S009J	R. SANT ANA
$S0500	AV. PREFEITO OMAR SABBAG
$C0390	R. UBALDINO DO AMARAL
$E0170	R. ALMIRANTE TAMANDARE
$E0320	R. REINALDINO SCHAFFEMBERG DE QUADROS
$C006M	R. COMENDADOR MACEDO
$C0290	R. MARIANO TORRES
$PC010	LRG. BITTENCOURT
