$C0020	AV. VISCONDE DE GUARAPUAVA
$E0300	R. FERNANDO AMARO
$E019M	R. JOSE DE ALENCAR
$C0120	R. QUINZE DE NOVEMBRO
$C0270	R. TIBAGI
$C0100	R. MARECHAL DEODORO
PCA006	PRAÇA ZACARIAS
$C010J	R. EMILIANO PERNETA
$W022A	R. BENJAMIN LINS
$W0220	AV. BATEL, DO
$W022E	R. BISPO DOM JOSE
$W022G	AV. NOSSA SENHORA APARECIDA
$W8360	R. EDUARDO SPRADA
$W843F	R. FREDERICO MULLER
$W8280	R. ASTOLPHO NOGUEIRA
$W843H	R. PEDRO KOSCHLA
$W8280	R. ASTOLPHO NOGUEIRA
$W843F	R. FREDERICO MULLER
$W8360	R. EDUARDO SPRADA
$W022G	AV. NOSSA SENHORA APARECIDA
$W022E	R. BISPO DOM JOSE
$W022F	R. GONCALVES DIAS
$W0220	AV. BATEL, DO
$W022A	R. BENJAMIN LINS
$C004J	R. DOUTOR PEDROSA
$C0040	R. ANDRE DE BARROS
$S0260	AV. MARECHAL FLORIANO PEIXOTO
PCA003	PRAÇA CARLOS GOMES
$C0080	R. JOSE LOUREIRO
$C008M	R. BENJAMIN CONSTANT
$E0300	R. FERNANDO AMARO
$E0150	R. SETE DE ABRIL
$C0100	R. MARECHAL DEODORO
