$C2000	AV. PRESIDENTE AFFONSO CAMARGO
$E5300	R. FRANCISCO MOTA MACHADO
$S9120	R. PROFESSOR NIVALDO BRAGA
$E526D	R. PROFESSOR BENEDITO CONCEICAO
$E5290	R. PASTOR MANOEL VIRGINIO DE SOUZA
$E5160	R. ENGENHEIRO ALBERTO MONTEIRO DE CARVALHO
$E535D	R. PAULO KISSULA
$E510E	R. CASIMIRO TOSI
$E5330	R. ARAGUAIA
$E510E	R. CASIMIRO TOSI
$E535D	R. PAULO KISSULA
$E5160	R. ENGENHEIRO ALBERTO MONTEIRO DE CARVALHO
$E5290	R. PASTOR MANOEL VIRGINIO DE SOUZA
$E526D	R. PROFESSOR BENEDITO CONCEICAO
$S9120	R. PROFESSOR NIVALDO BRAGA
