$C0110	R. CABRAL
$C014I	R. CRUZ MACHADO
PCA002	PRAÇA TIRADENTES
$C017K	R. BARAO DO SERRO AZUL
$C018J	TV. NESTOR DE CASTRO
$C015K	R. ROSARIO, DO
$N0100	R. DUQUE DE CAXIAS
$N0230	R. INACIO LUSTOSA
$N0120	R. TRAJANO REIS
$N3000	R. NILO PECANHA
$N2070	R. CARLOS AUGUSTO CORNELSEN
$N057B	R. BRASILINO MOURA
$N0570	R. ECA DE QUEIROZ
$N064A	R. BANDEIRA, DA
$E025J	R. FUNCIONARIOS, DOS
$C1020	AV. PARANA
$E002I	R. CARLOS EDUARDO LEAO
$E025J	R. FUNCIONARIOS, DOS
$N064A	R. BANDEIRA, DA
$N0570	R. ECA DE QUEIROZ
$N057B	R. BRASILINO MOURA
$N2070	R. CARLOS AUGUSTO CORNELSEN
$N3000	R. NILO PECANHA
$N031C	TV. GENERAL FRANCISCO LIMA E SILVA
$N014A	R. DOMINGOS NASCIMENTO
$N027B	R. DESEMBARGADOR BENVINDO VALENTE
$N0120	R. TRAJANO REIS
$C0240	R. TREZE DE MAIO
$C017K	R. BARAO DO SERRO AZUL
$C018J	TV. NESTOR DE CASTRO
$C0180	AL. AUGUSTO STELLFELD
$C0090	R. VISCONDE DE NACAR
$W0140	R. VICENTE MACHADO
