$C3000	AV. REPUBLICA ARGENTINA
$W1310	R. DEPUTADO WALDEMIRO PEDROSO
$W122D	R. DOUTOR LUIZ LOSSO FILHO
$W137C	R. GENERAL POTIGUARA
$W118D	R. THEOPHILO MANSUR
$W5030	R. SENADOR ACCIOLY FILHO
$W5080	AV. INDUSTRIAS, DAS
$W5070	R. DANIEL BRAMBILA
$W5240	TV. MARCENEIROS, DOS
$W5450	R. GUILHERME FUGMANN
$W5460	R. SCHIRLEI SOLANGE MANTOVANI
$W5530	R. LEA MOREIRA DE SOUZA MOURA
$W1370	R. PEDRO GUSSO
$W532M	R. SAO SEVERINO
$W5530	R. LEA MOREIRA DE SOUZA MOURA
$W5460	R. SCHIRLEI SOLANGE MANTOVANI
$W5450	R. GUILHERME FUGMANN
$W5240	TV. MARCENEIROS, DOS
$W5070	R. DANIEL BRAMBILA
$W5080	AV. INDUSTRIAS, DAS
$W5030	R. SENADOR ACCIOLY FILHO
$W5020	R. ELYSIO SIMOES
$W5010	R. NOSSA SENHORA DA CABECA
$W137C	R. GENERAL POTIGUARA
$W122D	R. DOUTOR LUIZ LOSSO FILHO
$W1310	R. DEPUTADO WALDEMIRO PEDROSO
$W104D	R. PAULINA ADER
$W1290	R. FRANCISCO ADER
