$W1670	R. JOSE RODRIGUES PINHEIRO
$C3020	AV. WINSTON CHURCHILL
$W181A	R. JOAQUIM SIMOES
$W100G	R. MARECHAL OTAVIO SALDANHA MAZZA
$S4330	R. IZAAC FERREIRA DA CRUZ
$S404H	R. JOAO LAERTES BOCHNIA
$S4310	R. EMILE ZOLA
$S431J	R. ROGERIO XAVIER ROCHA LOURES
$S431K	R. EMILE ZOLA
$S4270	R. JOSE MANOEL VOLUZ
$S426A	R. PADRE RAFAEL JOSE KALINOWSKI
$S419G	R. FRANCISCO CLAUDINO FERREIRA
$S431K	R. EMILE ZOLA
$S4610	R. MARTE
$S4500	R. DOUTOR LEVY BUQUERA
$S461S	R. PIONEIROS, DOS
$S4500	R. DOUTOR LEVY BUQUERA
$S4610	R. MARTE
$S431K	R. EMILE ZOLA
$S419G	R. FRANCISCO CLAUDINO FERREIRA
$S426A	R. PADRE RAFAEL JOSE KALINOWSKI
$S4270	R. JOSE MANOEL VOLUZ
$S431K	R. EMILE ZOLA
$S431J	R. ROGERIO XAVIER ROCHA LOURES
$S4310	R. EMILE ZOLA
$S202A	R. ANDRE FERREIRA BARBOSA
$C3020	AV. WINSTON CHURCHILL
$W1710	R. LEON NICOLAS
$S202A	R. ANDRE FERREIRA BARBOSA
