$N0270	R. BARAO DE ANTONINA
$C1000	AV. JOAO GUALBERTO
$N0230	R. INACIO LUSTOSA
$N0120	R. TRAJANO REIS
$N027B	R. DESEMBARGADOR BENVINDO VALENTE
$N016A	R. ALBINO SILVA
$N018B	AV. DESEMBARGADOR HUGO SIMAS
$N4250	R. RAPOSO TAVARES
$AT06G	R. ELISIO NASCIMENTO (ALM TAMANDARÉ)
$N4250	R. RAPOSO TAVARES
$N018B	AV. DESEMBARGADOR HUGO SIMAS
$N016A	R. ALBINO SILVA
$N027B	R. DESEMBARGADOR BENVINDO VALENTE
$N0120	R. TRAJANO REIS
$N021A	R. PAULA GOMES
$C021L	R. RIACHUELO
$N0230	R. INACIO LUSTOSA
$N0060	R. CANDIDO DE ABREU
