PTO0006148|N	ESTAÇÃO TUBO CIC NORTE
$C4080	R. DEPUTADO HEITOR ALENCAR FURTADO
$N9510	R. PROFESSOR JOAO FALARZ
$W9080	R. MONSENHOR IVO ZANLORENZI
$W8000	R. GENERAL MARIO TOURINHO
$C4000	R. PADRE ANCHIETA
$W021H	R. JERONIMO DURSKI
$W0020	R. MARTIN AFONSO
$C0090	R. VISCONDE DE NACAR
$C014I	R. CRUZ MACHADO
$C015L	R. JOSE BONIFACIO
$C014J	TV. TOBIAS DE MACEDO
$C014K	R. ALFREDO BUFREN
$C014L	R. AMINTAS DE BARROS
$C0270	R. TIBAGI
$C2500	AV. SETE DE SETEMBRO
$E036G	R. FRANCISCO ALVES GUIMARAES
$E023M	R. SCHILLER
$S001J	AV. SILVA JARDIM
$S0090	R. BRASILIO ITIBERE
$S015O	R. ENGENHEIRO OSTOJA ROGUSKI
$C2000	AV. PRESIDENTE AFFONSO CAMARGO
$PI55G	AV. IDA AFONSO CAMARGO (PINHAIS)
$C2000	AV. PRESIDENTE AFFONSO CAMARGO
$C0310	R. FRANCISCO TORRES
$C2500	AV. SETE DE SETEMBRO
$C0190	R. LOURENCO PINTO
$C0060	R. PEDRO IVO
$S0260	AV. MARECHAL FLORIANO PEIXOTO
$C017K	R. BARAO DO SERRO AZUL
$C018J	TV. NESTOR DE CASTRO
$C0180	AL. AUGUSTO STELLFELD
$C016J	R. PROFESSOR FERNANDO MOREIRA
$C0030	R. BRIGADEIRO FRANCO
$N018A	R. PADRE AGOSTINHO
$W021H	R. JERONIMO DURSKI
$N018G	R. SAO VICENTE DE PAULO
$W8000	R. GENERAL MARIO TOURINHO
$N9080	R. PROFESSOR PEDRO VIRIATO P. SOUZA
PTO00012000|N	ESTAÇÃO TUBO PARQUE SHOPPING BARIGUI
$N9510	R. PROFESSOR JOAO FALARZ
$C4080	R. DEPUTADO HEITOR ALENCAR FURTADO
