$C1020	AV. PARANA
$E002I	R. CARLOS EDUARDO LEAO
$E025J	R. FUNCIONARIOS, DOS
$E004H	AV. MUNHOZ DA ROCHA
$E1160	AV. PREFEITO ERASTO GAERTNER
$E116F	AV. MONTEIRO TOURINHO
$E2350	R. JORGE BONN
$E2460	R. HERMINIO CARDOSO
$E2450	R. ALFERES MARCILIO MACHADO
$E2480	R. JOAO IVANOSKI
$E2450	R. ALFERES MARCILIO MACHADO
$E2460	R. HERMINIO CARDOSO
$E2350	R. JORGE BONN
$E116F	AV. MONTEIRO TOURINHO
$E1160	AV. PREFEITO ERASTO GAERTNER
$E115G	R. ALVARO BOTELHO
$E1140	R. NICARAGUA
$N0680	R. CORONEL AMAZONAS MARCONDES
$E004H	AV. MUNHOZ DA ROCHA
$E025J	R. FUNCIONARIOS, DOS
