$S155B	R. CATARINA SCOTTI
$S1500	AV. BRASILIA
$S2140	R. BORTOLO GUSSO
$S271B	R. ELIAS JOAO ZARUCH
$S206A	R. MARECHAL ALTHAYR ROSZANNIY
$C8881	ROD. BR-116
$S5070	R. OMAR RAYMUNDO PICHETH
$S524E	R. ODENIR SILVEIRA
$S5030	R. PRIMEIRO DE MAIO
$S408A	R. JOSE OSIRES BAGLIOLI
$S4010	R. DOUTOR PEDRO ZAVASKI
$S416A	R. IZIDORO STAVITZKI
$S4030	R. CID MARCONDES DE ALBUQUERQUE
$S4570	R. JOAO ELOY DE SOUZA
$S452K	AV. SAGITARIO
$S4610	R. MARTE
$S4500	R. DOUTOR LEVY BUQUERA
$S461S	R. PIONEIROS, DOS
$S448M	R. PLANALTO
$S4330	R. IZAAC FERREIRA DA CRUZ
$S4500	R. DOUTOR LEVY BUQUERA
$S4610	R. MARTE
$S452K	AV. SAGITARIO
$S4570	R. JOAO ELOY DE SOUZA
$S4030	R. CID MARCONDES DE ALBUQUERQUE
$S416A	R. IZIDORO STAVITZKI
$S4010	R. DOUTOR PEDRO ZAVASKI
$S408A	R. JOSE OSIRES BAGLIOLI
$S5030	R. PRIMEIRO DE MAIO
$S524E	R. ODENIR SILVEIRA
$S5070	R. OMAR RAYMUNDO PICHETH
$C8881	ROD. BR-116
$S206B	R. ESTEPHANA PIETRUZA
$S271D	R. JOVINA DE OLIVEIRA KARAN
$S206A	R. MARECHAL ALTHAYR ROSZANNIY
$S271B	R. ELIAS JOAO ZARUCH
$S2140	R. BORTOLO GUSSO
$S2650	R. DELEGADO NABY PARANA
$S2100	R. RODOLPHO SENFF JUNIOR
$S1630	R. PEDRO AMÉRICO
$S161A	R. PEDRO BONAT
$S150A	R. IRMAS PAULINAS
$S153C	R. ANDRE JOAO GASPARIN
