$C0150	AL. DOUTOR MURICY
$C0020	AV. VISCONDE DE GUARAPUAVA
$W0300	R. CASTRO ALVES
$W030F	R. GUARARAPES
$W700A	R. FRANCISCO FRISCHMANN
$W1010	R. JOAO BETTEGA
$C555W	AV. JUSCELINO KUBITSCHEK DE OLIVEIRA
$W1010	R. JOAO BETTEGA
$AR20G	AV. DAS ARAUCÁRIAS (ARAUCÁRIA)
$AR10H	ROD. DO XISTO BR - 476 (ARAUCÁRIA)
$AR18D	R. VER. ABILIO FRUET (ARAUCÁRIA)
$AR79G	AV. DR. VICTOR DO AMARAL (ARAUCÁRIA)
$AR01L	R. DIOGENES B. LOBATO (ARAUCÁRIA)
$AR14D	R. JORGE A. MANSUR (ARAUCÁRIA)
$AR83E	R. JULIO SZYMANSKI (ARAUCÁRIA)
$AR03V	R. PRES. CARLOS CAVALCANTI (ARAUCÁRIA)
$AR61G	R. CORONEL JOÃO ANTÔNIO XAVIER (ARAUCÁRIA)
$AR00D	R. PROF° ALFREDO PARODI (ARAUCÁRIA)
$AR03S	AV. ARCHELAU DE ALMEIDA TORRES (ARAUCÁRIA)
$AR79G	AV. DR. VICTOR DO AMARAL (ARAUCÁRIA)
$AR18D	R. VER. ABILIO FRUET (ARAUCÁRIA)
$AR10H	ROD. DO XISTO BR - 476 (ARAUCÁRIA)
$AR20G	AV. DAS ARAUCÁRIAS (ARAUCÁRIA)
$W1010	R. JOAO BETTEGA
$C555E	AV. JUSCELINO KUBITSCHEK DE OLIVEIRA
$W1010	R. JOAO BETTEGA
$W1000	R. DOUTOR JOAO TOBIAS PINTO REBELO
$W1030	R. LUIZ PARIGOT DE SOUZA
$S2110	R. AUGUSTO DE MARI
$S102A	R. EDUARDO CARLOS PEREIRA
$S1020	R. GUILHERME PUGSLEY
$S0020	R. SAINT HILAIRE
$S0010	AV. SILVA JARDIM
$S0220	R. ALFERES POLI
$C0040	R. ANDRE DE BARROS
