$C0250	R. CONSELHEIRO LAURINDO
$C0120	R. QUINZE DE NOVEMBRO
$C0230	R. JOAO NEGRAO
$C0100	R. MARECHAL DEODORO
$S0260	AV. MARECHAL FLORIANO PEIXOTO
$C017K	R. BARAO DO SERRO AZUL
$C018J	TV. NESTOR DE CASTRO
$C015K	R. ROSARIO, DO
$N0100	R. DUQUE DE CAXIAS
$N0230	R. INACIO LUSTOSA
$N012B	R. JOAO MANOEL
$N025B	R. QUARI
$N027A	R. SOLIMOES
$N0220	R. DOM ALBERTO GONCALVES
$N6160	AV. MANOEL RIBAS
$N0300	R. PROFESSORA ROSA SAPORSKI
$N033B	R. DOUTOR ROBERTO BARROZO
$N403F	R. ANDRE ZANETTI
$N4160	R. ARTHUR LEINIG
$N405A	R. CARLOS RAZERA
$N4200	R. VICTORIO VIEZZER
$N407B	R. DEPUTADO JOAO FERREIRA NEVES
$N424D	R. CORONEL ROBERTO MULLER
$N407B	R. DEPUTADO JOAO FERREIRA NEVES
$N4200	R. VICTORIO VIEZZER
$N405A	R. CARLOS RAZERA
$N4160	R. ARTHUR LEINIG
$N403F	R. ANDRE ZANETTI
$N033B	R. DOUTOR ROBERTO BARROZO
$N0280	R. JULIO PERNETA
$N6160	AV. MANOEL RIBAS
$N0200	R. TAPAJOS
$N020B	R. CAPITAO VIRGINIO DE OLIVEIRA MELLO
$N027A	R. SOLIMOES
$N025B	R. QUARI
$N012B	R. JOAO MANOEL
$N0120	R. TRAJANO REIS
$C018N	AV. JAIME REIS
$C0150	AL. DOUTOR MURICY
$C0180	AL. AUGUSTO STELLFELD
$C0130	R. EBANO PEREIRA
$C014I	R. CRUZ MACHADO
$C014J	TV. TOBIAS DE MACEDO
$C014K	R. ALFREDO BUFREN
