$E0040	AV. AGOSTINHO LEAO JUNIOR
$E004F	R. AMANCIO MORO
$E004G	R. BARAO DE GUARAUNA
$E0070	R. AUGUSTO SEVERO
$E002E	R. NICOLAU MAEDER
$E010G	R. GUARDA-MOR LUSTOSA
$E0060	R. BARAO DOS CAMPOS GERAIS
$E004H	AV. MUNHOZ DA ROCHA
$E1160	AV. PREFEITO ERASTO GAERTNER
$E116F	AV. MONTEIRO TOURINHO
$E251D	R. PERY SOTTO MAIOR BITTENCOURT
$C4440	EST. RIBEIRA, DA
$CO08K	EST. ADA DA RIBEIRA (COLOMBO)
$CO60G	R. ROSELI PANSOLIN ALBERTI (COLOMBO)
$CO59G	R. ANTONIO S (COLOMBO)
$CO00M	R. PEDRO DO ROSÁRIO (COLOMBO)
$CO46G	R. APUCARANA (COLOMBO)
$CO75C	R. PARANAGUA (COLOMBO)
$CO91C	R. SALTO DO ITARARÉ (COLOMBO)
$CO03O	R. CERRO AZUL (COLOMBO)
$CO02O	R. NOSSA SENHORA DE FÁTIMA (COLOMBO)
$CO52G	R. ROLANDIA (COLOMBO)
$CO19M	R. LEONIDAS ALBERTI (COLOMBO)
$CO03I	R. CORNELIO PROCÓPIO (COLOMBO)
$CO60G	R. ROSELI PANSOLIN ALBERTI (COLOMBO)
$CO08K	EST. ADA DA RIBEIRA (COLOMBO)
$C4440	EST. RIBEIRA, DA
$E251D	R. PERY SOTTO MAIOR BITTENCOURT
$E116F	AV. MONTEIRO TOURINHO
$E1160	AV. PREFEITO ERASTO GAERTNER
$E115G	R. ALVARO BOTELHO
$E1140	R. NICARAGUA
$N0680	R. CORONEL AMAZONAS MARCONDES
$E004H	AV. MUNHOZ DA ROCHA
$E0250	R. DOUTOR MANOEL PEDRO
$N0620	R. SAO LUIZ
$N0700	AV. ANITA GARIBALDI
$N0400	R. CAMPOS SALES
$N0430	R. DEPUTADO MARIO DE BARROS
$E007H	R. ALBERTO BOLLIGER
$E004G	R. BARAO DE GUARAUNA
$E004F	R. AMANCIO MORO
$C0390	R. UBALDINO DO AMARAL
$C016L	R. CONSELHEIRO ARAUJO
$PC010	LRG. BITTENCOURT
$C025M	R. LUIZ LEAO
