$N0060	R. CANDIDO DE ABREU
$N0350	R. LYSIMACO FERREIRA DA COSTA
$N0080	R. MATEUS LEME
$AT24G	R. CONTORNO NORTE (ALM TAMANDARÉ)
$AT26A	ROD. DOS MINÉRIOS PR - 92 (ALM TAMANDARÉ)
$AT76E	R. RACHEL CANDIDO DE SIQUEIRA (ALM TAMANDARÉ)
TERM030|N	TERMINAL TAMANDARÉ
$AT47E	R. DOMINGOS SCUCATO (ALM TAMANDARÉ)
TERM030|N	TERMINAL TAMANDARÉ
$AT98D	R. EMILIO JOHNSON (ALM TAMANDARÉ)
$AT95D	R. ATHAYDE DE SIQUEIRA (ALM TAMANDARÉ)
$AT76E	R. RACHEL CANDIDO DE SIQUEIRA (ALM TAMANDARÉ)
$AT26A	ROD. DOS MINÉRIOS PR - 92 (ALM TAMANDARÉ)
$AT24G	R. CONTORNO NORTE (ALM TAMANDARÉ)
$N0080	R. MATEUS LEME
$N0270	R. BARAO DE ANTONINA
$C1000	AV. JOAO GUALBERTO
$N0230	R. INACIO LUSTOSA
