$N0060	R. CANDIDO DE ABREU
$N0350	R. LYSIMACO FERREIRA DA COSTA
$N0080	R. MATEUS LEME
$N347C	R. MARIA DE LOURDES MICKOSZ
$N3460	R. EUGENIO FLOR
$N3490	R. PROSDOCIMO LAGO
$AT08F	R. VEREADOR WADISLAU BUGALSKI (ALM TAMANDARÉ)
$AT77G	R. DEL. THEOLINDO B. SIQUEIRA (ALM TAMANDARÉ)
$AT87D	R. DEL. THEOLINDO BATISTA DE SIQUEIRA (ALM TAMANDARÉ)
$AT67H	R. IRENE COLODEL DA CRUZ (ALM TAMANDARÉ)
$AT76G	R. TRÊS (ALM TAMANDARÉ)
$AT71D	R. LEONARDO MURASKI (ALM TAMANDARÉ)
$AT76G	R. TRÊS (ALM TAMANDARÉ)
$AT67H	R. IRENE COLODEL DA CRUZ (ALM TAMANDARÉ)
$AT87D	R. DEL. THEOLINDO BATISTA DE SIQUEIRA (ALM TAMANDARÉ)
$AT77G	R. DEL. THEOLINDO B. SIQUEIRA (ALM TAMANDARÉ)
$AT08F	R. VEREADOR WADISLAU BUGALSKI (ALM TAMANDARÉ)
$N3490	R. PROSDOCIMO LAGO
$N3460	R. EUGENIO FLOR
$N347C	R. MARIA DE LOURDES MICKOSZ
$N0080	R. MATEUS LEME
$N0270	R. BARAO DE ANTONINA
$C1000	AV. JOAO GUALBERTO
$N0230	R. INACIO LUSTOSA
