TERM025|N	TERMINAL GUADALUPE
$C0040	R. ANDRE DE BARROS
$C004M	R. NILO CAIRO
$C0290	R. MARIANO TORRES
$C025M	R. LUIZ LEAO
$E0040	AV. AGOSTINHO LEAO JUNIOR
$E004F	R. AMANCIO MORO
$E004G	R. BARAO DE GUARAUNA
$E0070	R. AUGUSTO SEVERO
$E002E	R. NICOLAU MAEDER
$E010G	R. GUARDA-MOR LUSTOSA
$E0060	R. BARAO DOS CAMPOS GERAIS
$E004H	AV. MUNHOZ DA ROCHA
$E002H	R. DEPUTADO JOAQUIM JOSE PEDROSA
$E1020	R. CANADA
$E102F	R. SAO JOAO
$E1310	R. GUILHERME IHLENFELDT
$C1020	AV. PARANA
$CO41L	ROD. DA UVA (COLOMBO)
$CO34L	R. ANTONIO DE SOUZA (COLOMBO)
$CO33L	R. JOAO ALBERTI (COLOMBO)
$CO30L	R. ANTENOR ALVES DE SOUZA (COLOMBO)
$CO33L	R. JOAO ALBERTI (COLOMBO)
$CO34L	R. ANTONIO DE SOUZA (COLOMBO)
$CO41L	ROD. DA UVA (COLOMBO)
$C1020	AV. PARANA
$N102G	R. JOAO GBUR
$N1020	R. JOVINO DO ROSARIO
$N0600	R. BELEM
$N062A	R. CORONEL JOAO ALENCAR GUIMARAES FILHO
$N0620	R. SAO LUIZ
$N0700	AV. ANITA GARIBALDI
$N0400	R. CAMPOS SALES
$N0430	R. DEPUTADO MARIO DE BARROS
$E007H	R. ALBERTO BOLLIGER
$E004G	R. BARAO DE GUARAUNA
$E004F	R. AMANCIO MORO
$C0390	R. UBALDINO DO AMARAL
$C006M	R. COMENDADOR MACEDO
$C0270	R. TIBAGI
$C004N	R. ITARARE
$C0060	R. PEDRO IVO
