TERM030|N	TERMINAL TAMANDARÉ
$AT47E	R. DOMINGOS SCUCATO (ALM TAMANDARÉ)
$AT98D	R. EMILIO JOHNSON (ALM TAMANDARÉ)
$AT95D	R. ATHAYDE DE SIQUEIRA (ALM TAMANDARÉ)
$AT76E	R. RACHEL CANDIDO DE SIQUEIRA (ALM TAMANDARÉ)
$AT08F	R. VEREADOR WADISLAU BUGALSKI (ALM TAMANDARÉ)
$AT74E	EST. S. MIGUEL (ALM TAMANDARÉ)
$N5270	R. JUSTO MANFRON
$AT06G	R. ELISIO NASCIMENTO (ALM TAMANDARÉ)
$N5270	R. JUSTO MANFRON
$AT74E	EST. S. MIGUEL (ALM TAMANDARÉ)
$AT08F	R. VEREADOR WADISLAU BUGALSKI (ALM TAMANDARÉ)
$AT76E	R. RACHEL CANDIDO DE SIQUEIRA (ALM TAMANDARÉ)
