$C010J	R. EMILIANO PERNETA
$C0070	R. VISCONDE DO RIO BRANCO
$N018A	R. PADRE AGOSTINHO
$W021H	R. JERONIMO DURSKI
$W8000	R. GENERAL MARIO TOURINHO
$C6660	ROD. BR-277
$CL73F	ROD. BR 277 (CAMPO LARGO)
$CL17J	AV. PE. NATAL PIGGATO (CAMPO LARGO)
$CL98D	R. BEBEDITO SOARES PINTO (CAMPO LARGO)
$CL45I	R. GONÇALVES DIAS (CAMPO LARGO)
$CL19H	R. VER. ARLINDO CHEMIN (CAMPO LARGO)
$CL44I	R. CORONEL CÉZAR TORRES (CAMPO LARGO)
$CL46C	R. SANTOS A. DUMONT (CAMPO LARGO)
$CL85B	R. RUI BARBOSA (CAMPO LARGO)
$CL33C	R. RODOLFO CASTAGNOLI (CAMPO LARGO)
$CL09K	R. DOMINGOS CORDEIRO (CAMPO LARGO)
$CL53I	R. CENTENÁRIO (CAMPO LARGO)
$CL87G	R. BR. DO RIO BRANCO (CAMPO LARGO)
$CL95J	R. XAVIER DA SILVA (CAMPO LARGO)
$CL85G	AV. DES. CLOTÁRIO DE MACEDO PORTUGAL (CAMPO LARGO)
$CL92D	ROD. BR 277 (CAMPO LARGO)
$C6660	ROD. BR-277
$W8000	R. GENERAL MARIO TOURINHO
$W0020	R. MARTIN AFONSO
$C016J	R. PROFESSOR FERNANDO MOREIRA
$C0090	R. VISCONDE DE NACAR
