TERM032|N	TERMINAL PIRAQUARA
$PQ86G	R. BARAO AZUL CERRO (PIRAQUARA)
$PQ95G	R. FRANCISCO LEAL (PIRAQUARA)
$PQ64D	R. DOMINGAS GUBERT ZENI (PIRAQUARA)
$PQ65D	R. JULIO RIBEIRO DE BARROS (PIRAQUARA)
$PQ94G	R. MARTIMIANO SABINO DA SILVA (PIRAQUARA)
$PQ43H	R. ROSA PEREIRA ALVES (PIRAQUARA)
$PQ52D	R. LAURINDA RIBEIRO VIEIRA (PIRAQUARA)
$PQ46D	R. DA ANGELA LIMA COSTA (PIRAQUARA)
$PQ51D	R. LEOCADIO CORDEIRO SIQUEIRA JUNIOR (PIRAQUARA)
$PQ49D	R. PADRE MARIANO (PIRAQUARA)
$PQ56D	R. ALBERTO RIBEIRO GOUBERT (PIRAQUARA)
$PQ58D	R. HENRIQUE BRUDECK (PIRAQUARA)
$PQ97G	R. ELIAS ALVES FERREIRA DE SOUZA GOMES (PIRAQUARA)
$PQ01H	R. REINALDO MEIRA (PIRAQUARA)
