$C3020	AV. WINSTON CHURCHILL
$W1690	R. DOUTOR WALDEMIRO PEREIRA
$W100G	R. MARECHAL OTAVIO SALDANHA MAZZA
$C8881	ROD. BR-116
$FR46E	ROD. BR-116 (FAZ RIO GRANDE)
$FR85D	R. CARLOS EDUARDO NICHELLI (FAZ RIO GRANDE)
$FR83A	R. CEZAR CARELLI (FAZ RIO GRANDE)
$FR84D	R. EPHIGÊNIO P. DA CRUZ (FAZ RIO GRANDE)
$FR95A	R. FRANCISCO CLAUDINO DOS SANTOS (FAZ RIO GRANDE)
$FR47E	AV. DAS AMÉRICAS (FAZ RIO GRANDE)
$FR46E	ROD. BR-116 (FAZ RIO GRANDE)
$C8882	ROD. BR-116
$S281X	R. IRENE DUTKA
$C8881	ROD. BR-116
$S4170	R. ENGENHEIRO JOAO BLEY FILHO
$S402H	R. HELIO DIRCEU WOITIKIW
$S4310	R. EMILE ZOLA
$S202A	R. ANDRE FERREIRA BARBOSA
$S2020	R. FRANCISCO RAITANI
$S202A	R. ANDRE FERREIRA BARBOSA
$W1630	R. JOAO RODRIGUES PINHEIRO
$S202A	R. ANDRE FERREIRA BARBOSA
