TERM035|N	TERMINAL PAULISTA
$CO52L	R. ANTONIO FERRARINI (COLOMBO)
$CO16I	R. PRESIDENTE FARIA (COLOMBO)
$CO28I	R. LUIZ BERLEZI (COLOMBO)
$CO18I	R. VICENTE CANESTRARO (COLOMBO)
$CO17I	R. PIETRO CANESTRARO (COLOMBO)
$CO25I	R. JACOB BERLESI (COLOMBO)
$PI56G	EST. DA GRACIOSA (PINHAIS)
$QB10C	AV. 25 DE JANEIRO (QUATRO BARRAS)
$QB06B	R. CARLOS SBRISSIA (QUATRO BARRAS)
$QB08B	R. PEDRO AUGUSTO BOSSARDI (QUATRO BARRAS)
$QB69C	R. ACESSO A QUATRO BARRAS (QUATRO BARRAS)
$QB31C	AV. DOM PEDRO II (QUATRO BARRAS)
TERM033|N	TERM.QUATRO BARRAS
$QB69C	R. ACESSO A QUATRO BARRAS (QUATRO BARRAS)
