TERM033|N	TERM.QUATRO BARRAS
$QB31C	AV. DOM PEDRO II (QUATRO BARRAS)
$QB63C	AV. PREFEITO DOMINGOS MOCELIM NETO (QUATRO BARRAS)
$QB57C	R. LEOPOLDO ANDREATTA (QUATRO BARRAS)
$QB56A	R. LAURINDO PIRES ALVES (QUATRO BARRAS)
$QB27C	AV. SÃO SEBASTIÃO (QUATRO BARRAS)
$QB21A	R. LÍDIO ANDREATTA (QUATRO BARRAS)
$QB17A	R. LUIZ GASPARIN (QUATRO BARRAS)
$QB94C	AV. PREFEITO DOMINGOS MOCELIN NETO (QUATRO BARRAS)
$QB37A	AV. DAS PEDREIRAS (QUATRO BARRAS)
$QB94C	AV. PREFEITO DOMINGOS MOCELIN NETO (QUATRO BARRAS)
$QB17A	R. LUIZ GASPARIN (QUATRO BARRAS)
$QB21A	R. LÍDIO ANDREATTA (QUATRO BARRAS)
$QB27C	AV. SÃO SEBASTIÃO (QUATRO BARRAS)
$QB56A	R. LAURINDO PIRES ALVES (QUATRO BARRAS)
$QB57C	R. LEOPOLDO ANDREATTA (QUATRO BARRAS)
$QB63C	AV. PREFEITO DOMINGOS MOCELIM NETO (QUATRO BARRAS)
$QB62C	AV. DOM PEDRO II (QUATRO BARRAS)
