TERM034|N	TERM. DE COLOMBO
$CO29K	R. JOSÉ CAVASSIN (COLOMBO)
$CO79A	R. JOSÉ LEAL FONTOURA (COLOMBO)
$CO43L	R. MARECHAL FLORIANO PEIXOTO (COLOMBO)
$CO40L	R. FRANCISCO BUSATO DO ROSÁRIO (COLOMBO)
$CO41L	ROD. DA UVA (COLOMBO)
$CO81N	AV. SANTOS DUMONT (COLOMBO)
$CO91E	R. PAULO SCROK (COLOMBO)
$CO82N	R. JOÃO BATISTA (COLOMBO)
$CO95O	R. STOCCO (COLOMBO)
$CO94E	R. AILTON LUIZ NODARI (COLOMBO)
$CO83M	R. JOAO BATISTA STOCCO (COLOMBO)
$CO56D	R. DULCIDIO FALAVINHA (COLOMBO)
$CO39M	R. FELICIO KANIA (COLOMBO)
$CO61M	R. GRAJAU (COLOMBO)
$CO83O	R. ALEXANDRE ANDREATA (COLOMBO)
$CO79M	R. JOSÉ ANTONIO GONÇALVES (COLOMBO)
$CO67M	R. FRANCISCO D'AGOSTIN (COLOMBO)
$CO81M	R. PASCHOAL LAZAROTO TONIOLO (COLOMBO)
$CO77M	R. SÃO JOÃO BATISTA (COLOMBO)
$CO77O	R. MANOEL RIBAS (COLOMBO)
$CO78O	R. ROBERTO L. FALAVINHA (COLOMBO)
$CO08K	EST. ADA DA RIBEIRA (COLOMBO)
$CO02P	AV. MAR. JOSÉ DE ANCHIETA (COLOMBO)
$CO51M	R. DOS EUCALIPTOS (COLOMBO)
$CO36O	R. JOAO LICERIO DE BRITO (COLOMBO)
$CO48M	R. SANTA MARIA (COLOMBO)
$CO87O	AV. PORTUGAL (COLOMBO)
$CO49O	R. GRACIALO RAMOS (COLOMBO)
$CO39O	R. RAUL POMPEIA (COLOMBO)
$CO42O	R. RAFAEL DE QUEIROZ (COLOMBO)
$CO20E	R. JOSÉ MARIA DA SILVA PARANHOS (COLOMBO)
$CO08P	R. JOSE L. DO REGO (COLOMBO)
$CO10P	R. ABEL SCUISSIATO (COLOMBO)
$CO30D	R. LODOVICO KLINDINGER (COLOMBO)
$CO10P	R. ABEL SCUISSIATO (COLOMBO)
$CO08P	R. JOSE L. DO REGO (COLOMBO)
$CO20E	R. JOSÉ MARIA DA SILVA PARANHOS (COLOMBO)
$CO42O	R. RAFAEL DE QUEIROZ (COLOMBO)
$CO39O	R. RAUL POMPEIA (COLOMBO)
$CO49O	R. GRACIALO RAMOS (COLOMBO)
$CO87O	AV. PORTUGAL (COLOMBO)
$CO48M	R. SANTA MARIA (COLOMBO)
$CO36O	R. JOAO LICERIO DE BRITO (COLOMBO)
$CO51M	R. DOS EUCALIPTOS (COLOMBO)
$CO08K	EST. ADA DA RIBEIRA (COLOMBO)
$CO78O	R. ROBERTO L. FALAVINHA (COLOMBO)
$CO77O	R. MANOEL RIBAS (COLOMBO)
$CO77M	R. SÃO JOÃO BATISTA (COLOMBO)
$CO55M	TV. ANA NERI (COLOMBO)
$CO81M	R. PASCHOAL LAZAROTO TONIOLO (COLOMBO)
$CO67M	R. FRANCISCO D'AGOSTIN (COLOMBO)
$CO79M	R. JOSÉ ANTONIO GONÇALVES (COLOMBO)
$CO83O	R. ALEXANDRE ANDREATA (COLOMBO)
$CO61M	R. GRAJAU (COLOMBO)
$CO39M	R. FELICIO KANIA (COLOMBO)
$CO56D	R. DULCIDIO FALAVINHA (COLOMBO)
$CO83M	R. JOAO BATISTA STOCCO (COLOMBO)
$CO94E	R. AILTON LUIZ NODARI (COLOMBO)
$CO95O	R. STOCCO (COLOMBO)
$CO82N	R. JOÃO BATISTA (COLOMBO)
$CO91E	R. PAULO SCROK (COLOMBO)
$CO81N	AV. SANTOS DUMONT (COLOMBO)
$CO41L	ROD. DA UVA (COLOMBO)
$CO40L	R. FRANCISCO BUSATO DO ROSÁRIO (COLOMBO)
$CO58A	R. VENÃNCIO TREVISAN (COLOMBO)
$CO56A	R. PADRE FRANCISCO BONATO (COLOMBO)
$CO79A	R. JOSÉ LEAL FONTOURA (COLOMBO)
$CO29K	R. JOSÉ CAVASSIN (COLOMBO)
