$S013O	R. BENTO AZAMBUJA
$S0560	R. SAO JOAQUIM
$S009J	R. SANT ANA
$S0520	R. HILDEBRANDO DE ARAUJO
$S0070	R. ENGENHEIROS REBOUCAS
$C0250	R. CONSELHEIRO LAURINDO
$C0100	R. MARECHAL DEODORO
$S0260	AV. MARECHAL FLORIANO PEIXOTO
$C017K	R. BARAO DO SERRO AZUL
$C018J	TV. NESTOR DE CASTRO
$C0180	AL. AUGUSTO STELLFELD
$C0030	R. BRIGADEIRO FRANCO
$N020A	R. DESEMBARGADOR ISAIAS BEVILAQUA
$N0170	R. FERNANDO SIMAS
$N021B	R. ALCIDES MUNHOZ
$N0170	R. FERNANDO SIMAS
$N024A	R. JULIA WANDERLEY
$W0030	AL. PRESIDENTE TAUNAY
$N020A	R. DESEMBARGADOR ISAIAS BEVILAQUA
$C0010	R. DESEMBARGADOR MOTTA
$C016J	R. PROFESSOR FERNANDO MOREIRA
$C014I	R. CRUZ MACHADO
$C0150	AL. DOUTOR MURICY
$C0080	R. JOSE LOUREIRO
$S0240	R. DESEMBARGADOR WESTPHALEN
$C0040	R. ANDRE DE BARROS
$C0230	R. JOAO NEGRAO
$S0090	R. BRASILIO ITIBERE
$S0500	AV. PREFEITO OMAR SABBAG
$S013J	R. TUFIK JOSE GUERIOS
$S046B	R. MAURICIO NUNES GARCIA
$S017J	R. SAID FATUCH
$S050F	AV. PROFESSOR LOTHARIO MEISSNER
$S015O	R. ENGENHEIRO OSTOJA ROGUSKI
$S050C	R. DOUTOR JORGE MEYER FILHO
$S015M	R. DANTE ALIGHIERI
$S0520	R. HILDEBRANDO DE ARAUJO
$S013N	R. CARLOS ANTONIO DE AZEVEDO
$S0540	R. SAO JANUARIO
