$N0270	R. BARAO DE ANTONINA
$C1000	AV. JOAO GUALBERTO
$N0230	R. INACIO LUSTOSA
$N0120	R. TRAJANO REIS
$N027B	R. DESEMBARGADOR BENVINDO VALENTE
$N016A	R. ALBINO SILVA
$N018B	AV. DESEMBARGADOR HUGO SIMAS
$N4250	R. RAPOSO TAVARES
$N5250	R. GRAZIELE WOLF
$N4410	AV. FREDOLIN WOLF
$N5270	R. JUSTO MANFRON
$AT36G	R. EDGAR F. DO NASCIMENTO (ALM TAMANDARÉ)
$AT30G	R. EDGAR ALBERTO TIEMANN (ALM TAMANDARÉ)
$AT34G	R. TRÊS (ALM TAMANDARÉ)
$AT83G	R. D (ALM TAMANDARÉ)
$AT51G	R. B (ALM TAMANDARÉ)
$AT50G	R. E (ALM TAMANDARÉ)
$AT51G	R. B (ALM TAMANDARÉ)
$AT83G	R. D (ALM TAMANDARÉ)
$AT34G	R. TRÊS (ALM TAMANDARÉ)
$AT30G	R. EDGAR ALBERTO TIEMANN (ALM TAMANDARÉ)
$AT36G	R. EDGAR F. DO NASCIMENTO (ALM TAMANDARÉ)
$N5270	R. JUSTO MANFRON
$N4410	AV. FREDOLIN WOLF
$N5250	R. GRAZIELE WOLF
$N4250	R. RAPOSO TAVARES
$N018B	AV. DESEMBARGADOR HUGO SIMAS
$N016A	R. ALBINO SILVA
$N027B	R. DESEMBARGADOR BENVINDO VALENTE
$N0120	R. TRAJANO REIS
$N021A	R. PAULA GOMES
$C021L	R. RIACHUELO
$N0230	R. INACIO LUSTOSA
$N0060	R. CANDIDO DE ABREU
