PCA007	TV NESTOR DE CASTRO
$C018J	TV. NESTOR DE CASTRO
$C0180	AL. AUGUSTO STELLFELD
$C0110	R. CABRAL
$N016B	R. PRESBITEROS, DOS
$C018N	AV. JAIME REIS
$N6160	AV. MANOEL RIBAS
$N4200	R. VICTORIO VIEZZER
$N405B	R. BATISTA PESSINE
$N4280	R. JOSE CASAGRANDE
$N6160	AV. MANOEL RIBAS
$N6090	R. ANGELO DOMINGOS DURIGAN
$N5150	R. ARI JOSE VALLE
$N4410	AV. FREDOLIN WOLF
$N5430	R. EDSON CAMPOS MATESICH
$N554C	R. GENTIL ANTUNES BRANCO
$N5410	R. WANDA WOLF
$N5680	AV. DOUTOR EUGENIO BERTOLLI
$N5460	R. ROMULO CESAR ALVES
$N5530	R. JOAO REFFO
$N5240	R. FRANCISCO DALLALIBERA
$N6590	AV. NAPOLEAO MANOSSO
$N6160	AV. MANOEL RIBAS
$N7290	R. LUIZ PELEGRINO TOALDO
$N729A	R. ACELINO GRANDE
$N7280	AV. VEREADOR TOALDO TULIO
$N7190	R. DOMINGOS STRAPASSON
$N6160	AV. MANOEL RIBAS
$C0090	R. VISCONDE DE NACAR
PCA001	PRAÇA RUI BARBOSA
$C0060	R. PEDRO IVO
$S0240	R. DESEMBARGADOR WESTPHALEN
$C0040	R. ANDRE DE BARROS
$S0260	AV. MARECHAL FLORIANO PEIXOTO
PCA003	PRAÇA CARLOS GOMES
$C017K	R. BARAO DO SERRO AZUL
$C018J	TV. NESTOR DE CASTRO
