$S9500	R. LORY LUNARDON
$S9570	R. FILIPINAS
$S9540	R. ENGENHEIRO BENEDITO MARIO DA SILVA
$S9600	R. DEPUTADO ACYR JOSE
$C7770	ROD. BR-277 CURITIBA PARANAGUA
$S879B	R. DEPUTADO TENORIO CAVALCANTI
$S858M	R. AVELINO MANTOVANI
$S879M	R. EUNICE BETTINI BARTOSZECK
$S8760	R. AVIADOR ARMIN BUHRER
$S879M	R. EUNICE BETTINI BARTOSZECK
$S858M	R. AVELINO MANTOVANI
$S879B	R. DEPUTADO TENORIO CAVALCANTI
$C7770	ROD. BR-277 CURITIBA PARANAGUA
$S9600	R. DEPUTADO ACYR JOSE
$S9540	R. ENGENHEIRO BENEDITO MARIO DA SILVA
$S9590	R. TAILANDIA
