$W1630	R. JOAO RODRIGUES PINHEIRO
$C3020	AV. WINSTON CHURCHILL
$W1690	R. DOUTOR WALDEMIRO PEREIRA
$W1300	R. ATILIO BRUNETTI
$W130I	R. TRINTA E UM DE MARCO
$W1830	R. ORESTES CODEGA
$W1400	R. ALBERTO KRAMER
$W1850	R. LEONARDO PIANOWSKI
$W130I	R. TRINTA E UM DE MARCO
$W1890	R. VALDECI DOS SANTOS
$W130I	R. TRINTA E UM DE MARCO
$W1850	R. LEONARDO PIANOWSKI
$W1400	R. ALBERTO KRAMER
$W1830	R. ORESTES CODEGA
$W130I	R. TRINTA E UM DE MARCO
$W1300	R. ATILIO BRUNETTI
$W1670	R. JOSE RODRIGUES PINHEIRO
$S202A	R. ANDRE FERREIRA BARBOSA
