PCA001	PRAÇA RUI BARBOSA
$S0240	R. DESEMBARGADOR WESTPHALEN
$S0030	AV. IGUACU
$S0200	R. VINTE E QUATRO DE MAIO
$S0150	R. CHILE
$S0160	R. LAMENHA LINS
$S217D	R. ANTONIO PAROLIN JUNIOR
$C0030	R. BRIGADEIRO FRANCO
$S221A	R. PROFESSOR PORTHOS VELOZO
$S274M	R. MARIA MOSCARDI FANINI
$S223A	R. PROFESSOR LEONIDAS FERREIRA DA COSTA
$S268M	R. RICARDO GUTHER
$S2210	R. ALAGOAS
$S266M	R. COMENDADOR JOAO LACKNER
$S217H	R. SANTA ZITA
$S264M	R. ASSIS FIGUEIREDO
$S217H	R. SANTA ZITA
$S266M	R. COMENDADOR JOAO LACKNER
$S2210	R. ALAGOAS
$S268M	R. RICARDO GUTHER
$S223A	R. PROFESSOR LEONIDAS FERREIRA DA COSTA
$S274M	R. MARIA MOSCARDI FANINI
$S221A	R. PROFESSOR PORTHOS VELOZO
$C0030	R. BRIGADEIRO FRANCO
$S217D	R. ANTONIO PAROLIN JUNIOR
$S0160	R. LAMENHA LINS
$S213A	R. JOAO PAROLIN
$S0220	R. ALFERES POLI
$C0060	R. PEDRO IVO
