$C3000	AV. REPUBLICA ARGENTINA
$S155B	R. CATARINA SCOTTI
$S1500	AV. BRASILIA
$S5270	R. FRANCISCO DEROSSO
$S522H	R. GABRIEL FRECCEIRO DE MIRANDA
$S5210	R. ANIBAL REQUIAO
$S510H	R. JOSE MARIA PINHEIRO LIMA
$S5150	R. CAPITAO ANTONIO JOSE
$S522I	R. EURICO FONSECA DOS SANTOS
$S511A	R. CORONEL RIVADAVIA PEREIRA DE MORAES
$S5440	R. LEONCIO LOPES CORTIANO
$S5570	R. CONSTANTINO JOSE DE ALMEIDA
$S511A	R. CORONEL RIVADAVIA PEREIRA DE MORAES
$S522I	R. EURICO FONSECA DOS SANTOS
$S5150	R. CAPITAO ANTONIO JOSE
$S510H	R. JOSE MARIA PINHEIRO LIMA
$S5210	R. ANIBAL REQUIAO
$S522H	R. GABRIEL FRECCEIRO DE MIRANDA
$S5270	R. FRANCISCO DEROSSO
$S1500	AV. BRASILIA
$S1630	R. PEDRO AMÉRICO
$S161A	R. PEDRO BONAT
$S150A	R. IRMAS PAULINAS
$S153C	R. ANDRE JOAO GASPARIN
